,Dimensions,is subdimension of,Definition,Reference,occurrence,keywords
496,Sample Variability,variability,,doswell2007small,7,citizen science: 1; open air laboratories: 1; quality assurance: 1; water quality: 1; water survey: 1; human milk: 1; composition: 1; nutrient: 1; database: 1; usda food data system: 1; 
497,Sample-Associated Error,error,,verch2016reduction,1,rna-seq: 1; quality control: 1; database: 1; fastqc: 1; rna-seqc: 1; rseqc: 1; 
498,Sample-Specific Variation,variation,,rendeiro2016chromatin,1,
499,Sample-to-Sample Variation,variation,,zeldin2015data,2,vacuole: 1; sugar transport in plants: 1; salt stress: 1; drought stress: 1; qconcats: 1; 
500,Sampling Error,error,,groves1987research,25,pregnancy: 2; primary health care: 1; cross-sectional study: 1; prevalence study: 1; family practice: 1; germany: 1; fixation duration: 1; infant: 1; eyetracker methodology: 1; attention: 1; naturalistic: 1; free viewing: 1; patient satisfaction: 1; questionnaire: 1; patient safety: 1; hospital: 1; animal movement: 1; gps telemetry: 1; fitness: 1; calving: 1; metabolic syndrome x: 1; offspring survival: 1; demographic rates: 1; woodland caribou: 1; rangifer: 1; maternal deaths!: 1; delivery: 1; age of death: 1; burkina faso: 1; data quality: 1; transcriptomic: 1; proteomic: 1; identifier filtering: 1; tcga: 1; correlation: 1; microarray: 1; china: 1; nitrous oxide: 1; emission factor: 1; greenhouse gas: 1; fertilizer: 1; agriculture: 1; attrition: 1; longitudinal (panel) study: 1; mode switching: 1; non-response bias: 1; web survey: 1; journal-keeping: 1; population health monitoring: 1; health interview surveys: 1; mixed-mode designs: 1; self-administered questionnaires: 1; sequential mixed-mode design: 1; concurrent mixed-mode design: 1; parents satisfaction: 1; nicu: 1; health care: 1; neonatal: 1; survey: 1; validity: 1; reliability: 1; 
501,Satisfactory Accuracy,accuracy,,fonseca2010accuracy,1,
502,Satisfactory Reliability,reliability,,mchorney1994mos,1,fatigue: 1; fatigue severity scale: 1; multiple sclerosis: 1; reliability: 1; selfreport: 1; validity: 1; 
503,Scalability,,"The capability of a system, network, or process to handle a growing amount of work, or its potential to be enlarged to accommodate that growth.",bondi2000characteristics,40,"data quality: 3; proteomics: 2; electronic health records: 2; medical informatics: 2; meta-analysis: 1; gene orthologues: 1; hypoxia: 1; workflow: 1; networks: 1; systems biology: 1; bioinformatics: 1; health and demographic surveillance system: 1; mobile data collection: 1; data management platform: 1; malaria: 1; kenya: 1; security: 1; privacy: 1; de-identification: 1; statistical disclosure control: 1; k-anonymity: 1; optimization: 1; parameter estimation: 1; dynamic models: 1; identifiability: 1; global optimization: 1; regularization: 1; overfitting: 1; web-camera: 1; eye tracking: 1; visual paired comparison: 1; visual memory: 1; methodology comparison: 1; clinical trials: 1; data management: 1; open-source software: 1; geo: 1; metadata: 1; affymetrix microarray: 1; clustering: 1; biomedical: 1; experimental data: 1; reusability: 1; genomics: 1; imaging: 1; big data: 1; cancer: 1; precision medicine: 1; cloud infrastructure: 1; wireless sensor networks: 1; dependability: 1; machine learning: 1; monitoring: 1; sensor fusion: 1; eyetracking: 1; simultaneous: 1; public goods game: 1; attention: 1; personal health record systems: 1; health records, personal: 1; kepler: 1; data analytics: 1; altanalyze: 1; patient-centered care: 1; review: 1; health platforms: 1; multiorganizational systems: 1; ultralarge systems: 1; dietary assessment technologies: 1; nutrition surveys: 1; mobile applications: 1; web-based tools: 1; aes, australian eating survey: 1; ahs, australian health survey: 1; ampm, automated multiple-pass method: 1; asa24, automated self-administered 24-hour recall: 1; dnfcs, dutch national food consumption survey: 1; icdam9, 9th international conference on diet and activity methods: 1; mfr, mobile food record: 1; mrc, medical research council: 1; ndns, national diet and nutrition survey: 1; nhanes, national health and nutrition examination survey: 1; rp, rolling programme: 1; webdasc, web-based dietary assessment software for children: 1; review [publication type]: 1; crowdsourcing: 1; health: 1; data variability: 1; data warehouse: 1; clinical datasets: 1; translational research: 1; research data management: 1; data catalogue: 1; health informatics: 1; record linkage: 1; ontology evaluation: 1; ontology modeling: 1; entropy-based metric: 1; knowledge representation: 1; big data and semantics: 1; secondary use: 1; information systems: 1; decision support systems: 1; data security: 1; semantic interoperability: 1; ehr: 1; "
504,Scale Reliability,reliability,,vassar2008note,4,interrai: 2; assessment: 2; quality: 2; interrai cha: 1; community health assessment: 1; rai-hc: 1; resident assessment instrument  home care: 1; rai 2.0: 1; minimum data set: 1; mds: 1; funding: 1; fatigue: 1; fatigue severity scale: 1; multiple sclerosis: 1; reliability: 1; selfreport: 1; validity: 1; 
505,Scientific Soundness of Data Interpretation,soundness,,mccarty2012information,1,data quality: 1; glp: 1; peer review: 1; regulatory decision making: 1; toxicity tests: 1; 
506,Security,accessibility [wang1996beyond],Extent to which access to information is restricted appropriately to maintain its security.,sidi2012data,203,"data quality: 15; epidemiology: 9; data collection: 7; electronic health records: 7; surveillance: 6; mortality: 5; china: 4; information systems: 4; database: 4; methodology: 4; informatics: 4; incidence: 4; hiv: 4; cancer: 4; quality: 3; global vaccine action plan: 3; registry: 3; health information technology: 3; public health: 3; ehr: 3; electronic data capture: 3; cancer registry: 3; quality control: 3; public health informatics: 3; data management: 3; patient registry: 3; follow-up: 3; health information: 2; data warehouse: 2; quality assurance: 2; emergency medicine: 2; immunization: 2; program evaluation: 2; health information systems: 2; vaccines: 2; madagascar: 2; mobile phone: 2; genomics: 2; health care: 2; research networks: 2; monitoring and evaluation: 2; emergency department: 2; data use and quality: 2; pregnancy: 2; mhealth: 2; assessment: 2; vital signs: 2; clinical trial: 2; electronic medical records: 2; surveillance system: 2; malaria: 2; iot: 2; smartphone: 2; survey: 2; quality of care: 2; big data: 2; ghana: 2; data linkage: 2; record linkage: 2; administrative data: 2; evaluation: 2; hiv/aids: 2; crowdsourcing: 2; medical informatics: 2; good clinical data management practices: 1; validation: 1; airborne laser scanning: 1; als: 1; digital surface model: 1; dsm: 1; light detection and ranging: 1; lidar: 1; roof extraction: 1; photovoltaic: 1; triage: 1; information quality: 1; data accuracy: 1; emergency medical services: 1; peripheral venous blood: 1; cardiac anesthesia: 1; anesthesia: 1; multicenter trials: 1; medical records: 1; data use: 1; health survey: 1; questionnaires: 1; infant feeding: 1; hospital records: 1; rare diseases: 1; data collection process: 1; death rate: 1; humanitarian: 1; conflict: 1; post-emergency: 1; chad: 1; refugees: 1; internally displaced persons (idps): 1; mdecins sans frontires (msf): 1; community health workers: 1; computing: 1; automatization: 1; high-throughput: 1; data processing: 1; field trials: 1; plant phenotyping: 1; multi-sensor fusion: 1; image-based sensors: 1; plant breeding: 1; sensor platform: 1; inter-rater reliability: 1; monitoring and evaluation (m&e): 1; task shifting: 1; health workforce: 1; acl: 1; anterior cruciate ligament registry: 1; predictive value: 1; data quality management processes: 1; iso 8000-61: 1; data quality in sensors: 1; hospital information systems: 1; text mining: 1; user computer interface: 1; vital signs.: 1; internet-of-things: 1; validity: 1; participatory sensing: 1; reputation: 1; contribution: 1; nutrition survey: 1; data cleaning: 1; disease burden: 1; malnutrition prevalence: 1; cystic fibrosis: 1; disease registry: 1; sri lanka: 1; computer: 1; handheld: 1; randomised control trial: 1; health system reform: 1; developing country: 1; financial protection: 1; smart, connected products: 1; task-shifting: 1; rna-seq: 1; fastqc: 1; rna-seqc: 1; rseqc: 1; general practice: 1; research: 1; medical records systems, computerised: 1; patient selection: 1; scps: 1; vaccinations: 1; immunizations: 1; resource tracking: 1; android mobile application: 1; environmental monitoring system: 1; global positioning system: 1; low-cost sensor: 1; sentinel surveillance: 1; electronic immunization registries: 1; early warning: 1; immunization information systems: 1; phenotypes: 1; novel traits: 1; dairy cows: 1; functional traits: 1; immunization data: 1; maternity: 1; shared-care: 1; general practitioner (gp): 1; paper hand-held record (phr): 1; electronic health record (ehr): 1; best practice variable: 1; discrete choice experiments: 1; bestworst scaling: 1; capability approach: 1; well-being: 1; economic evaluation: 1; variance heterogeneity: 1; national immunization programs: 1; data use agreements: 1; stroke: 1; pcor: 1; safetynet: 1; community health centers: 1; behavior: 1; health information exchange: 1; development: 1; patient registries: 1; routinely collected data: 1; data repository: 1; health neighbourhood: 1; integrated care: 1; national childrens study: 1; observational data: 1; comparative effectiveness: 1; medico-administrative databases: 1; care trajectories: 1; state sequence data analysis: 1; neurotoxicology: 1; disparities: 1; functional magnetic resonance imaging: 1; cognitive neuroscience: 1; brain imaging: 1; magnetic resonance imaging: 1; exercise: 1; web-based interventions: 1; activity monitoring: 1; physical fitness: 1; algorithms: 1; health care information system: 1; depic: 1; mobile technology: 1; maternal and child health: 1; study design: 1; vaccine record: 1; population health: 1; very long baseline interferometry (vlbi): 1; vlbi global observing system (vgos): 1; geodetic observatory wettzell: 1; twin telescopes wettzell: 1; vlbi correlation: 1; paediatrics: 1; apps: 1; asthma: 1; diabetes: 1; e-health: 1; insulin: 1; internet: 1; mobile health: 1; estimation: 1; workbook: 1; epidemiologic methods: 1; us: 1; icd-9: 1; breast cancer: 1; unstructured data: 1; data pooling: 1; interoperability: 1; data exchange: 1; large scale studies: 1; public data: 1; radiotherapy: 1; cyber infrastructure: 1; dataviews: 1; hiv disclosure: 1; resource-limited setting: 1; dietary assessment: 1; nutritional surveillance: 1; public policy: 1; nutrition databases: 1; usual intake: 1; nutrition policy: 1; dialysis: 1; transplantation: 1; esrd: 1; renal replacement therapy: 1; end-of-life decisions: 1; france: 1; mixed-mode survey: 1; interoperable sensors: 1; inspire: 1; airsenseur: 1; internet of things: 1; sensor observation service: 1; sensor web enablement: 1; air quality: 1; context: 1; ontology: 1; telemedicine: 1; quality of data: 1; normal distribution: 1; middle-upper arm circumference: 1; child malnutrition: 1; wasting: 1; probit: 1; error rate: 1; mixed-methods: 1; information system: 1; emis: 1; web-based: 1; thailand: 1; cohort: 1; linked data preparation: 1; exposure status: 1; perinatal: 1; prisoner: 1; gold standard: 1; digital mapping: 1; geographic locations: 1; quality assurance procedures: 1; men who have sex with men: 1; electronic health records [mesh]: 1; data collection [mesh]: 1; global health [mesh]: 1; shandong province: 1; assisted partner services: 1; open data kit: 1; kenya: 1; tobacco: 1; tobacco marketing: 1; retail environments: 1; compliance assessment: 1; policy implementation: 1; point-of-sale: 1; russia: 1; mobile data collection: 1; mobile devices: 1; data use & quality: 1; data completeness: 1; cohort studies: 1; bias, epidemiology: 1; technology: 1; complex intervention trials: 1; database design: 1; fidelity: 1; process evaluation: 1; parent satisfaction: 1; patient satisfaction: 1; family satisfaction: 1; unified: 1; traumatic brain injury: 1; rehabilitation: 1; agricultural models: 1; analytics: 1; human genome: 1; electronic medical record: 1; human-rabies: 1; investigation: 1; post-exposure prophylaxis: 1; animal-bite surveillance: 1; net primary productivity: 1; epic: 1; bethy/dlr: 1; land cover: 1; linkage error: 1; linkage evaluation: 1; hospital admission: 1; mortality surveillance: 1; cause of death: 1; systems integration: 1; information technology: 1; process mapping: 1; international classification of disease: 1; sustainable development goals: 1; disease prediction: 1; 16s rrna: 1; metagenomics: 1; intestinal bowel syndrome: 1; weather: 1; urbanization: 1; clinical data mart: 1; hydroxymethylglutaryl-coa reductase inhibitors: 1; clinical data warehouse: 1; live kidney donation: 1; comparison studies: 1; clinical data interchange standards consortium: 1; outcomes: 1; safety: 1; mechanical turk: 1; clinical data management systems: 1; online research: 1; hebei province: 1; clinical trials: 1; open-source software: 1; acute kidney injury: 1; nhs aki algorithm: 1; linked data: 1; case reports: 1; continuum of care: 1; epidemiologic surveillance: 1; text messaging: 1; biometric identification: 1; observational study privacy: 1; airborne gamma-ray spectrometry: 1; low-cost gnss: 1; barometric sensors: 1; radar altimeter: 1; imu: 1; online experiment: 1; video data acquisition: 1; preferential looking: 1; developmental psychology: 1; infants: 1; proteomics: 1; imaging: 1; precision medicine: 1; cloud infrastructure: 1; wireless sensor networks: 1; dependability: 1; machine learning: 1; monitoring: 1; sensor fusion: 1; population surveillance: 1; health policy: 1; environmental monitoring: 1; tuberculosis: 1; etr.net: 1; tb control programs: 1; south africa: 1; health and demographic surveillance site: 1; malawi: 1; cardiomyopathy: 1; central data management: 1; quality management: 1; hospital-based registry: 1; tumor: 1; human flu: 1; influenza: 1; grippe: 1; texting: 1; mobile apps: 1; short message service: 1; text message: 1; developing countries: 1; personal health record systems: 1; health records, personal: 1; data analytics: 1; e-crf: 1; patient-centered care: 1; review: 1; health platforms: 1; multiorganizational systems: 1; ultralarge systems: 1; vaccination: 1; workforce development: 1; uganda: 1; global health security: 1; cardiovascular diseases: 1; chinese: 1; external validity: 1; internal validity: 1; lessons: 1; pragmatic: 1; randomised controlled trial: 1; births and maternities: 1; global vaccine safety blueprint: 1; adverse events following immunization: 1; aefi reporting: 1; vaccine safety surveillance: 1; integrated disease surveillance and response idsr: 1; basic healthcare: 1; infectious diseases: 1; digital medicine: 1; biomarkers: 1; closed loop: 1; sensors: 1; barriers: 1; career choice: 1; discouraging factors: 1; india: 1; medical students: 1; geocoding: 1; drive-times: 1; patient travel: 1; neighbourhood statistics: 1; digital divide: 1; geospatial data: 1; health inequalities: 1; inverse care law: 1; gis: 1; anthropometry: 1; nutrition: 1; child: 1; weight-for-height: 1; weight-for-age: 1; height-for-age: 1; mid-upper arm circumference: 1; muac: 1; standard deviation: 1; kurtosis: 1; computer-assisted personal interviewing: 1; computer-assisted survey research: 1; hiv surveillance: 1; strengths: 1; weaknesses: 1; opportunities: 1; and threats analysis: 1; cervical cancer: 1; characteristics: 1; methods: 1; learning health system: 1; wdqs: 1; web-based data query systems: 1; state public health query systems: 1; health surveillance: 1; public health query systems: 1; disseminated and public health: 1; state public health aggregate level data: 1; state agency and public health: 1; data and public health agencies: 1; retention: 1; participant trackers: 1; clinical datasets: 1; translational research: 1; research data management: 1; data catalogue: 1; health informatics: 1; ankylosing spondylitis: 1; harmonization: 1; psoas cohort: 1; reliability of data: 1; open: 1; archival: 1; information: 1; system: 1; biomedical: 1; data: 1; preservation: 1; access: 1; companies: 1; corporate information: 1; entry barriers: 1; stakeholders: 1; corporate relations: 1; business transparency: 1; secondary use: 1; decision support systems: 1; data security: 1; semantic interoperability: 1; public health surveillance: 1; disease notification: 1; communicable diseases: 1; electronic laboratory reporting: 1; facioscapulohumeral muscular dystrophy: 1; fshd: 1; fshd1: 1; fshd2: 1; myopathy: 1; data (database) management system: 1; diseases of poverty: 1; plasmodium falciparum: 1; automated documentation: 1; civil registration: 1; vital statistics: 1; birth certificates: 1; sensor-based systems: 1; sensor-cloud systems: 1; quality-aware query: 1; source quality: 1; "
507,Segmentation Reliability,reliability,,dusseldorp2017soft,2,x-ray phase-contrast tomography: 1; 3d virtual histology: 1; human brain cytoarchitecture: 1; automatic cell counting: 1; 
508,Segmentation Variability,variability,,butler2017application,1,eeg: 1; fmri: 1; electrode location: 1; ute: 1; simultaneous eeg-fmri: 1; 
509,Segmentation/Outline Error,error,,bahnson2005automated,1,
510,Selectivity,missing data [prokhorov2009gmm],,prokhorov2009gmm,10,imaging mass spectrometry: 1; neurotransmitter: 1; acetylcholine: 1; ms: 1; ms/ms: 1; imaging: 1; ims: 1; multiple reaction monitoring mass spectrometry (mrm-ms): 1; stable isotope dilution (sid): 1; quantification: 1; interference detection: 1; limits of detection and quantification: 1; intra- and interlaboratory precision: 1; field trials: 1; plant phenotyping: 1; multi-sensor fusion: 1; image-based sensors: 1; plant breeding: 1; sensor platform: 1; electrolytic: 1; amperometric: 1; air quality: 1; pollution: 1; monitor: 1; quantification model: 1; carbon: 1; cobalt: 1; fischer-tropsch synthesis: 1; raman spectroscopy: 1; x-ray diffraction: 1; autism spectrum disorder: 1; structural connectivity: 1; diffusion-weighted imaging: 1; visual processing: 1; inferior longitudinal fasciculus: 1; 
511,Semantic Accuracy,accuracy,,guptill2013elements,1,
512,Semantic Error,error,,muller2003data,1,data cleansing: 1; molecular biology: 1; data errors: 1; 
513,Semantic Granularity,granularity,,sim2012ontology,1,ontology evaluation: 1; ontology modeling: 1; entropy-based metric: 1; knowledge representation: 1; big data and semantics: 1; 
514,Semantic Inconsistency,inconsistency,,ali2014data,1,
515,Semantic Traceability,traceability,"The extent to which data are well documented, verifiable, and easily attributed to a source.",wang1996beyond,1,secondary use: 1; information systems: 1; medical informatics: 1; decision support systems: 1; data security: 1; semantic interoperability: 1; ehr: 1; 
516,Semantic Variation,variation,,ballatore2015conceptual,1,data quality: 1; interpretability: 1; conceptual quality: 1; volunteered geographic information: 1; 
